page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN4-G1972-VP102,LTMD-CN4-G1972,1972,4,102,3,7,81.05,0.1429,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP103,LTMD-CN4-G1972,1972,4,103,3,23,83.12,0.1304,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP104,LTMD-CN4-G1972,1972,4,104,3,28,87.15,0.0714,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP105,LTMD-CN4-G1972,1972,4,105,3,9,70.19,0.3333,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP106,LTMD-CN4-G1972,1972,4,106,3,68,89.86,0.0735,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP107,LTMD-CN4-G1972,1972,4,107,3,93,92.75,0.0323,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP108,LTMD-CN4-G1972,1972,4,108,3,168,89.30,0.0774,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP109,LTMD-CN4-G1972,1972,4,109,3,85,91.39,0.0471,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP110,LTMD-CN4-G1972,1972,4,110,3,150,87.21,0.1000,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP111,LTMD-CN4-G1972,1972,4,111,3,108,91.92,0.0463,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP112,LTMD-CN4-G1972,1972,4,112,3,89,89.01,0.0674,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP113,LTMD-CN4-G1972,1972,4,113,3,7,87.64,0.1429,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP114,LTMD-CN4-G1972,1972,4,114,3,112,89.01,0.0625,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP115,LTMD-CN4-G1972,1972,4,115,3,99,92.98,0.0303,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP116,LTMD-CN4-G1972,1972,4,116,3,106,89.84,0.0849,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP117,LTMD-CN4-G1972,1972,4,117,3,111,92.17,0.0450,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP118,LTMD-CN4-G1972,1972,4,118,3,42,92.17,0.0238,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP119,LTMD-CN4-G1972,1972,4,119,3,14,65.74,0.3571,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP120,LTMD-CN4-G1972,1972,4,120,3,150,91.04,0.0533,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP121,LTMD-CN4-G1972,1972,4,121,3,104,83.72,0.1346,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP122,LTMD-CN4-G1972,1972,4,122,3,27,69.68,0.2222,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
